epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,14422.3,1.14248,0.58518,0.93656,0.88362,0.85683,0.92361,0.59175,1.20587,0.60213,0.95457,0.00867961,0.00867961,0.00867961
121,14540.6,1.14651,0.5896,0.93415,0.88565,0.85407,0.92362,0.59182,1.20606,0.60234,0.95478,0.00865839,0.00865839,0.00865839
122,14660.4,1.1431,0.59007,0.93492,0.88629,0.85303,0.92368,0.59195,1.20545,0.60201,0.95438,0.00863703,0.00863703,0.00863703
123,14781,1.14012,0.58495,0.93258,0.8871,0.85299,0.92399,0.59196,1.2053,0.60059,0.95442,0.00861553,0.00861553,0.00861553
124,14902.1,1.13519,0.582,0.93424,0.88637,0.85284,0.92408,0.59231,1.20592,0.60077,0.9547,0.00859389,0.00859389,0.00859389
125,15023.3,1.13817,0.58298,0.93559,0.88654,0.85299,0.92426,0.59224,1.20691,0.60109,0.95482,0.0085721,0.0085721,0.0085721
126,15144.3,1.12677,0.58081,0.9299,0.88623,0.85407,0.92419,0.59223,1.20719,0.59972,0.95519,0.00855018,0.00855018,0.00855018
127,15263.9,1.1386,0.58237,0.93063,0.88654,0.85395,0.92452,0.59203,1.20702,0.6011,0.95481,0.00852812,0.00852812,0.00852812
128,15384.7,1.13072,0.581,0.92678,0.88548,0.85581,0.92462,0.59192,1.20702,0.60096,0.95491,0.00850592,0.00850592,0.00850592
129,15503.8,1.13013,0.57628,0.92848,0.88611,0.85546,0.92467,0.59208,1.20783,0.60123,0.9549,0.00848358,0.00848358,0.00848358
130,15623.3,1.12993,0.58034,0.92809,0.88642,0.85535,0.9245,0.59219,1.20712,0.60191,0.95484,0.00846111,0.00846111,0.00846111
131,15743,1.12543,0.57746,0.92868,0.88631,0.85469,0.92443,0.59227,1.20674,0.59955,0.95484,0.00843851,0.00843851,0.00843851
132,15863.1,1.12753,0.57933,0.92953,0.88639,0.85376,0.92465,0.59224,1.20626,0.5993,0.95479,0.00841577,0.00841577,0.00841577
133,15984.3,1.123,0.57448,0.92831,0.88634,0.85454,0.92459,0.59229,1.20583,0.5993,0.95486,0.0083929,0.0083929,0.0083929
134,16105.4,1.133,0.58127,0.93231,0.88689,0.85438,0.92478,0.59248,1.20523,0.59977,0.95486,0.00836989,0.00836989,0.00836989
135,16227.8,1.11693,0.56963,0.92394,0.88756,0.85392,0.92437,0.59241,1.20535,0.59855,0.95494,0.00834676,0.00834676,0.00834676
136,16350.1,1.11527,0.57151,0.92751,0.88882,0.85361,0.92485,0.59272,1.2052,0.59868,0.95505,0.00832349,0.00832349,0.00832349
137,16471.4,1.11946,0.57406,0.92764,0.88844,0.85435,0.92479,0.59281,1.20535,0.59994,0.95499,0.0083001,0.0083001,0.0083001
138,16592.2,1.12085,0.57367,0.92935,0.8873,0.8556,0.92488,0.59268,1.205,0.59949,0.95504,0.00827658,0.00827658,0.00827658
139,16712.1,1.12137,0.57384,0.92675,0.88538,0.85735,0.92522,0.59244,1.20557,0.59985,0.95498,0.00825293,0.00825293,0.00825293
140,16832.7,1.11364,0.56789,0.92829,0.88547,0.85689,0.92526,0.59259,1.20486,0.59966,0.95502,0.00822915,0.00822915,0.00822915
141,16953.5,1.11712,0.57244,0.92733,0.8865,0.85607,0.92542,0.59249,1.20546,0.60013,0.9552,0.00820525,0.00820525,0.00820525
142,17074.5,1.10431,0.56795,0.92355,0.88713,0.85516,0.92546,0.5931,1.20628,0.60103,0.95562,0.00818122,0.00818122,0.00818122
143,17197,1.10524,0.56649,0.9255,0.88497,0.85778,0.92547,0.59278,1.20603,0.60119,0.95558,0.00815707,0.00815707,0.00815707
144,17319.6,1.10757,0.5666,0.92656,0.88456,0.85875,0.92548,0.59297,1.20626,0.60116,0.95583,0.0081328,0.0081328,0.0081328
145,17441.8,1.10792,0.57084,0.92891,0.88412,0.85859,0.9254,0.59277,1.20702,0.60165,0.95608,0.00810841,0.00810841,0.00810841
146,17563,1.11403,0.57035,0.9248,0.88278,0.85948,0.92556,0.59314,1.2073,0.60116,0.95642,0.00808389,0.00808389,0.00808389
147,17684.8,1.10348,0.56524,0.92449,0.88355,0.85887,0.92558,0.59272,1.20747,0.60153,0.95643,0.00805925,0.00805925,0.00805925
148,17805.8,1.10763,0.56397,0.9248,0.88474,0.85809,0.92581,0.59312,1.20727,0.60153,0.95648,0.0080345,0.0080345,0.0080345
149,17927.4,1.10126,0.56133,0.92294,0.88388,0.85782,0.92553,0.59291,1.20785,0.60107,0.95668,0.00800963,0.00800963,0.00800963
150,18048.1,1.09962,0.56149,0.9243,0.88708,0.85496,0.92516,0.59264,1.20781,0.60168,0.95682,0.00798464,0.00798464,0.00798464
151,18167.7,1.1074,0.56784,0.92392,0.88747,0.85465,0.92539,0.59302,1.20739,0.60248,0.95672,0.00795954,0.00795954,0.00795954
152,18289.1,1.09935,0.56228,0.92245,0.88608,0.85577,0.92534,0.59318,1.20775,0.60126,0.95696,0.00793432,0.00793432,0.00793432
153,18411.3,1.09551,0.55767,0.92183,0.88719,0.85465,0.92533,0.59304,1.20844,0.60142,0.95726,0.00790898,0.00790898,0.00790898
154,18533.6,1.1017,0.56318,0.92477,0.88896,0.8533,0.92537,0.59316,1.20803,0.60179,0.95696,0.00788354,0.00788354,0.00788354
155,18655.5,1.10002,0.56155,0.92331,0.88787,0.85392,0.92542,0.59326,1.20752,0.60135,0.95707,0.00785798,0.00785798,0.00785798
156,18777.1,1.09987,0.56138,0.9241,0.88763,0.85355,0.92551,0.59338,1.20751,0.60183,0.95679,0.00783231,0.00783231,0.00783231
157,18896.5,1.09202,0.55336,0.91889,0.88584,0.855,0.92565,0.59346,1.20713,0.60295,0.95652,0.00780653,0.00780653,0.00780653
158,19016.5,1.09751,0.55855,0.92023,0.88559,0.85531,0.92552,0.59376,1.20663,0.60276,0.95641,0.00778065,0.00778065,0.00778065
159,19137.1,1.09542,0.55883,0.92104,0.8866,0.85546,0.92562,0.59378,1.20615,0.60171,0.95641,0.00775465,0.00775465,0.00775465
160,19257.2,1.08748,0.55341,0.91796,0.88332,0.85686,0.92569,0.5939,1.20565,0.60236,0.95659,0.00772855,0.00772855,0.00772855
161,19377.5,1.08351,0.55078,0.9187,0.88436,0.85704,0.92553,0.59409,1.20504,0.60155,0.95633,0.00770234,0.00770234,0.00770234
162,19496.8,1.09094,0.55868,0.92161,0.88206,0.85933,0.92561,0.5945,1.20523,0.60229,0.95629,0.00767603,0.00767603,0.00767603
163,19617,1.09706,0.559,0.92225,0.8842,0.8584,0.92592,0.59465,1.20493,0.60282,0.95642,0.00764961,0.00764961,0.00764961
164,19739.2,1.0908,0.55982,0.9191,0.88452,0.85843,0.9258,0.59454,1.20429,0.6029,0.95635,0.0076231,0.0076231,0.0076231
165,19860.8,1.08768,0.5547,0.92255,0.8844,0.85887,0.92595,0.59456,1.20477,0.60408,0.95651,0.00759648,0.00759648,0.00759648
166,19982.6,1.08688,0.55298,0.91975,0.88423,0.85979,0.92596,0.59433,1.20407,0.60398,0.95638,0.00756976,0.00756976,0.00756976
167,20103.4,1.08529,0.5529,0.91952,0.88524,0.8584,0.92597,0.59443,1.20474,0.60407,0.95656,0.00754293,0.00754293,0.00754293
168,20222.7,1.07895,0.54986,0.91693,0.88469,0.85856,0.92595,0.5944,1.20406,0.60491,0.95641,0.00751602,0.00751602,0.00751602
169,20341,1.0792,0.54845,0.91804,0.88471,0.85871,0.92601,0.59464,1.2041,0.60489,0.95633,0.007489,0.007489,0.007489
170,20461.6,1.08262,0.55171,0.91776,0.88458,0.85776,0.92597,0.59458,1.20383,0.60563,0.95655,0.00746189,0.00746189,0.00746189
171,20581.6,1.08119,0.55328,0.91765,0.88432,0.85792,0.92607,0.59449,1.20492,0.60673,0.95673,0.00743468,0.00743468,0.00743468
172,20700.1,1.08516,0.55077,0.91756,0.88484,0.85856,0.92629,0.59483,1.20542,0.60731,0.95717,0.00740738,0.00740738,0.00740738
173,20819.9,1.08134,0.54763,0.91951,0.88395,0.85825,0.92626,0.59473,1.2048,0.60719,0.95724,0.00737998,0.00737998,0.00737998
174,20939.7,1.07452,0.54582,0.91665,0.88403,0.85871,0.92655,0.59463,1.20571,0.60797,0.95736,0.0073525,0.0073525,0.0073525
