stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220GA00404,998020,Jervis,,53.34768301,-6.265275464,,,,
8220GA00405,998020,Jervis,,53.347744,-6.26531,,,,
8220GA00421,998122,Busáras,,53.35015192,-6.251535839,,,,
8220GA00423,998023,Connolly,,53.350935,-6.249852,,,,
8220GA00427,998067,George's Dock,,53.34942861,-6.247569832,,,,
8220GA00428,998167,George's Dock,,53.34947353,-6.24756799,,,,
8220GA00430,998068,Mayor Square - NCI,,53.34916764,-6.243269507,,,,
8220GA00452,998087,Grangegorman,,53.357197,-6.277282,,,,
8220GA00455,998088,Phibsborough,,53.360391,-6.278827,,,,
8220GA00467,998085,Dominick,,53.35134511,-6.26554735,,,,
8220GA00468,998086,Broadstone - University,,53.354033,-6.273733,,,,
8230GA00347,998004,Belgard,,53.299145,-6.374808,,,,
8230GA00348,998004,Belgard,,53.29929146,-6.375066459,,,,
8230GA00350,998005,Kingswood,,53.303586,-6.365409,,,,
8230GA00353,998006,Red Cow,,53.31674596,-6.369780553,,,,
8230GA00413,998075,Citywest Campus,,53.28786423,-6.418937723,,,,
8250GA00282,998031,Windy Arbour,,53.30174668,-6.250648379,,,,
8250GA00294,998136,Sandyford,,53.27767443,-6.204574391,,,,
8250GA00295,998034,Kilmacud,,53.28291052,-6.224107001,,,,
8250GA00322,998057,Ballyogan Wood,,53.254982,-6.184472,,,,
8250GA00325,998059,Carrickmines,,53.254334,-6.171624,,,,
8250GA00332,998062,Cherrywood,,53.245317,-6.145975,,,,
8220GA00031,998078,Dawson,,53.34217543,-6.25801984,,,,
8220GA00059,998024,St. Stephen's Green,,53.339197,-6.261319,,,,
8220GA00062,998025,Harcourt,,53.33365091,-6.262691737,,,,
8220GA00074,998027,Ranelagh,,53.326145,-6.256072,,,,
8220GA00075,998027,Ranelagh,,53.32613194,-6.256196436,,,,
8220GA00084,998028,Beechwood,,53.32093174,-6.254622178,,,,
8220GA00360,998008,Bluebell,,53.32924,-6.333778,,,,
8220GA00366,998010,Drimnagh,,53.335305,-6.318256,,,,
8220GA00378,998014,Fatima,,53.338362,-6.292756,,,,
8220GA00381,998015,James's,,53.34181261,-6.293237662,,,,
8220GA00382,998015,James's,,53.34177775,-6.293314146,,,,
8220GA00402,998019,Four Courts,,53.346921,-6.273667,,,,
8220GA00408,998021,Abbey Street,,53.348504,-6.25845,,,,
8220GA00420,998022,Busáras,,53.350045,-6.251598,,,,
8220GA00434,998069,Spencer Dock,,53.34882534,-6.237125012,,,,
8220GA00436,998070,The Point,,53.34827635,-6.22918668,,,,
8220GA00441,998078,Dawson,,53.342162,-6.257852,,,,
8220GA00456,998088,Phibsborough,,53.36033055,-6.27902033,,,,
8220GA00460,998090,Broombridge,,53.37215461,-6.29752527,,,,
8220GA00469,998089,Cabra,,53.364349,-6.28192,,,,
8220GA00470,998081,O'Connell Upper,,53.351612,-6.261151,,,,
8220GA00478,998085,Dominick,,53.351245,-6.265573,,,,
8220GA00481,998086,Broadstone - University,,53.35411632,-6.273802469,,,,
8230GA00339,998003,Cookstown,,53.29325763,-6.384116138,,,,
8230GA00341,998002,Hospital,,53.289374,-6.378766,,,,
8230GA00342,998002,Hospital,,53.28931333,-6.378925111,,,,
8230GA00351,998005,Kingswood,,53.30369079,-6.365506429,,,,
8230GA00395,998074,Cheeverstown,,53.29100614,-6.40649151,,,,
8230GA00412,998075,Citywest Campus,,53.28779976,-6.418820111,,,,
8230GA00415,998076,Fortunestown,,53.284178,-6.424724,,,,
8230GA00419,998077,Saggart,,53.284725,-6.43779,,,,
8250GA00287,998132,Dundrum,,53.29242557,-6.245118882,,,,
8250GA00293,998036,Sandyford,,53.277533,-6.204714,,,,
8250GA00296,998034,Kilmacud,,53.283065,-6.224112,,,,
8250GA00319,998056,Leopardstown Valley,,53.258206,-6.198426,,,,
8250GA00320,998056,Leopardstown Valley,,53.2583007,-6.198356099,,,,
8250GA00326,998059,Carrickmines,,53.25440536,-6.171571547,,,,
8250GA00330,998061,Laughanstown,,53.25063471,-6.154947316,,,,
8250GA00335,998063,Brides Glen,,53.241879,-6.142724,,,,
8250GA00336,998063,Brides Glen,,53.24187177,-6.142842986,,,,
8220GA00035,998082,Trinity College,,53.34527975,-6.258253746,,,,
8220GA00070,998026,Charlemont,,53.330585,-6.258704,,,,
8220GA00276,998029,Cowper,,53.31640107,-6.25335115,,,,
8220GA00278,998030,Milltown,,53.30967244,-6.251749984,,,,
8220GA00361,998008,Bluebell,,53.32931856,-6.333883625,,,,
8220GA00364,998009,Blackhorse,,53.33429937,-6.327563122,,,,
8220GA00370,998011,Goldenbridge,,53.33595962,-6.313337881,,,,
8220GA00376,998013,Rialto,,53.33794453,-6.297416684,,,,
8220GA00379,998014,Fatima,,53.33846258,-6.292785785,,,,
8220GA00401,998019,Four Courts,,53.34685189,-6.273660411,,,,
8220GA00431,998068,Mayor Square - NCI,,53.34920357,-6.243268029,,,,
8220GA00433,998069,Spencer Dock,,53.34878043,-6.237126865,,,,
8220GA00437,998070,The Point,,53.34834821,-6.229183701,,,,
8220GA00443,998079,Westmoreland,,53.34637,-6.259086,,,,
8220GA00444,998080,O'Connell - GPO,,53.348839,-6.259968,,,,
8220GA00479,998087,Grangegorman,,53.357115,-6.27747,,,,
8220GA00480,998089,Cabra,,53.36432866,-6.282029723,,,,
8230GA00344,998001,Tallaght,,53.287523,-6.374685,,,,
8230GA00345,998001,Tallaght,,53.28740296,-6.37460272,,,,
8230GA00354,998106,Red Cow,,53.316725,-6.369919,,,,
8230GA00393,998073,Fettercairn,,53.293487,-6.395935,,,,
