route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5242_118188,92,5242_3085,Tallaght,238.gf.93-RED-y11-16,0,5242_7778148_Txc109731,5242_26
5242_118188,93,5242_3086,Saggart,239.Sat.93-RED-y11-1,0,5242_7778148_Txc109733,5242_25
5242_118188,92,5242_3087,Saggart,239.gf.93-RED-y11-16,0,5242_7778148_Txc109735,5242_25
5242_118188,94,5242_3098,Tallaght,244.SuBH.93-RED-y11-,0,5242_7778148_Txc109758,5242_19
5242_119680,92,5242_31,Brides Glen,136.gf.93-GRN-y11-16,0,5242_7778148_Txc104775,5242_2
5242_119680,94,5242_310,Brides Glen,98.SuBH.93-GRN-y11-1,0,5242_7778148_Txc105684,5242_1
5242_118188,91,5242_3103,Tallaght,324.MF-BH.93-RED-y11,0,5242_7778148_Txc110112,5242_19
5242_118188,93,5242_3104,Tallaght,240.Sat.93-RED-y11-1,0,5242_7778148_Txc109741,5242_19
5242_118188,92,5242_3105,Tallaght,240.gf.93-RED-y11-16,0,5242_7778148_Txc109743,5242_19
5242_118188,91,5242_3106,Saggart,323.MF-BH.93-RED-y11,0,5242_7778148_Txc110108,5242_24
5242_118188,91,5242_3110,Saggart,325.MF-BH.93-RED-y11,0,5242_7778148_Txc110116,5242_25
5242_118188,94,5242_3111,Saggart,237.SuBH.93-RED-y11-,0,5242_7778148_Txc109726,5242_22
5242_118188,94,5242_3116,Tallaght,246.SuBH.93-RED-y11-,0,5242_7778148_Txc109766,5242_19
5242_118188,93,5242_3121,Saggart,241.Sat.93-RED-y11-1,0,5242_7778148_Txc109745,5242_24
5242_118188,92,5242_3122,Saggart,241.gf.93-RED-y11-16,0,5242_7778148_Txc109747,5242_24
5242_118188,93,5242_3126,Tallaght,242.Sat.93-RED-y11-1,0,5242_7778148_Txc109749,5242_19
5242_118188,92,5242_3127,Tallaght,242.gf.93-RED-y11-16,0,5242_7778148_Txc109751,5242_19
5242_118188,91,5242_3128,Saggart,327.MF-BH.93-RED-y11,0,5242_7778148_Txc110124,5242_25
5242_118188,91,5242_3132,Tallaght,326.MF-BH.93-RED-y11,0,5242_7778148_Txc110120,5242_26
5242_118188,94,5242_3133,Saggart,239.SuBH.93-RED-y11-,0,5242_7778148_Txc109734,5242_22
5242_118188,91,5242_3138,Tallaght,328.MF-BH.93-RED-y11,0,5242_7778148_Txc110128,5242_19
5242_118188,93,5242_3139,Saggart,243.Sat.93-RED-y11-1,0,5242_7778148_Txc109753,5242_25
5242_118188,92,5242_3140,Saggart,243.gf.93-RED-y11-16,0,5242_7778148_Txc109755,5242_25
5242_118188,94,5242_3141,Tallaght,248.SuBH.93-RED-y11-,0,5242_7778148_Txc109774,5242_19
5242_119680,91,5242_1,Brides Glen,195.MF-BH.93-GRN-y11,0,5242_7778148_Txc104995,5242_1
5242_119680,91,5242_10,Brides Glen,79.SuBH.93-GRN-y11-1,0,5242_7778148_Txc105600,5242_1
5242_119680,92,5242_100,Brides Glen,144.gf.93-GRN-y11-16,0,5242_7778148_Txc104811,5242_1
5242_119680,91,5242_1000,Sandyford,354.MF-BH.93-GRN-y11,0,5242_7778148_Txc105380,5242_4
5242_119680,93,5242_1004,Brides Glen,240.Sat.93-GRN-y11-1,0,5242_7778148_Txc105155,5242_5
5242_119680,92,5242_1005,Brides Glen,240.gf.93-GRN-y11-16,0,5242_7778148_Txc105156,5242_5
5242_119680,91,5242_1009,Brides Glen,353.MF-BH.93-GRN-y11,0,5242_7778148_Txc105379,5242_5
5242_119680,94,5242_1010,Brides Glen,142.SuBH.93-GRN-y11-,0,5242_7778148_Txc104802,5242_1
5242_119680,91,5242_1015,Sandyford,356.MF-BH.93-GRN-y11,0,5242_7778148_Txc105382,5242_4
5242_119680,93,5242_1016,Sandyford,243.Sat.93-GRN-y11-1,0,5242_7778148_Txc105164,5242_4
5242_119680,92,5242_1017,Sandyford,243.gf.93-GRN-y11-16,0,5242_7778148_Txc105165,5242_4
5242_119680,93,5242_1021,Brides Glen,242.Sat.93-GRN-y11-1,0,5242_7778148_Txc105161,5242_5
5242_119680,92,5242_1022,Brides Glen,242.gf.93-GRN-y11-16,0,5242_7778148_Txc105162,5242_5
5242_119680,91,5242_1023,Brides Glen,355.MF-BH.93-GRN-y11,0,5242_7778148_Txc105381,5242_5
5242_119680,94,5242_1027,Brides Glen,143.SuBH.93-GRN-y11-,0,5242_7778148_Txc104806,5242_1
5242_119680,91,5242_1032,Sandyford,358.MF-BH.93-GRN-y11,0,5242_7778148_Txc105384,5242_4
5242_119680,93,5242_1033,Sandyford,245.Sat.93-GRN-y11-1,0,5242_7778148_Txc105170,5242_4
5242_119680,92,5242_1034,Sandyford,245.gf.93-GRN-y11-16,0,5242_7778148_Txc105171,5242_4
5242_119680,91,5242_1037,Brides Glen,357.MF-BH.93-GRN-y11,0,5242_7778148_Txc105383,5242_5
5242_119680,93,5242_1038,Brides Glen,244.Sat.93-GRN-y11-1,0,5242_7778148_Txc105167,5242_5
5242_119680,92,5242_1039,Brides Glen,244.gf.93-GRN-y11-16,0,5242_7778148_Txc105168,5242_5
5242_119680,91,5242_104,Sandyford,220.MF-BH.93-GRN-y11,0,5242_7778148_Txc105086,5242_4
5242_119680,94,5242_1042,Brides Glen,144.SuBH.93-GRN-y11-,0,5242_7778148_Txc104810,5242_1
5242_119680,91,5242_1047,Sandyford,360.MF-BH.93-GRN-y11,0,5242_7778148_Txc105390,5242_4
5242_119680,93,5242_1048,Sandyford,247.Sat.93-GRN-y11-1,0,5242_7778148_Txc105176,5242_4
5242_119680,92,5242_1049,Sandyford,247.gf.93-GRN-y11-16,0,5242_7778148_Txc105177,5242_4
5242_119680,91,5242_105,Brides Glen,219.MF-BH.93-GRN-y11,0,5242_7778148_Txc105079,5242_5
5242_119680,91,5242_1052,Brides Glen,359.MF-BH.93-GRN-y11,0,5242_7778148_Txc105385,5242_5
5242_119680,93,5242_1053,Brides Glen,246.Sat.93-GRN-y11-1,0,5242_7778148_Txc105173,5242_5
5242_119680,92,5242_1054,Brides Glen,246.gf.93-GRN-y11-16,0,5242_7778148_Txc105174,5242_5
5242_119680,94,5242_1057,Brides Glen,145.SuBH.93-GRN-y11-,0,5242_7778148_Txc104814,5242_1
5242_119680,91,5242_106,Sandyford,222.MF-BH.93-GRN-y11,0,5242_7778148_Txc105092,5242_4
5242_119680,91,5242_1062,Sandyford,362.MF-BH.93-GRN-y11,0,5242_7778148_Txc105392,5242_4
